bairro,cod_bairro
Aeroporto,3
Água Boa,201
Águas Lindas,4
Águas Negras,6
Agulha,178
Antônio Lemos,206
Arirambá,1
Aurá,8
Baía do Sol,14
Barreiro,165
Batista Campos,15
Benguí,17
Bonfim,21
Brasília,22
Cabanagem,149
Campina,30
Campina de Icoaraci,179
Canudos,24
Carananduba,25
Caruara,111
Castanheira,43
Chapéu Virado,18
Cidade Velha,29
Condor,32
Coqueiro,168
Cremação,45
Cruzeiro,53
Curió-Utinga,128
Farol,50
Fátima,79
Guamá,51
Guanabara,173
Itaiteua,60
Jurunas,68
Mangueirão,59
Mangueiras,54
Maracacuera,73
Maracajá,70
Maracangalha,203
Marahú,26
Marambaia,74
Marco,75
Montese (Terra Firme),124
Murubira,67
Natal do Murubira,78
Nazaré,80
Paracuri,86
Paraíso,85
Parque Guajará,9
Parque Verde,5
Pedreira,89
Ponta Grossa,182
Porto Arthur,104
Praia Grande,108
Pratinha,92
Reduto,94
Sacramenta,99
São Brás,105
São Clemente,106
São Francisco,195
São João do Outeiro,83
Souza,114
Sucurijuquara,115
Tapanã,118
Telégrafo,122
Tenoné,123
Umarizal,126
Una,147
Universitário,110
Val-de-Cães,129
Vila,77